Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_local_scale,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study,host_common_name,Host_Diet,host_genotype,host_intranasal_treatment,host_sex,host_subject_id,host_strain,neg_cont_type,pos_cont_type
SRR29054911,AMPLICON,502,14420954,PRJNA1111477,SAMN41393473,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,7604545,DUKE UNIVERSITY,2022-02-24,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Stool,not applicable,SRX24579979,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,10,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Fecal_JI-654_Week_10_Label10,10,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-654,C57BL/6,,
SRR29054912,AMPLICON,502,4608360,PRJNA1111477,SAMN41393539,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,2544405,DUKE UNIVERSITY,2022-08-30,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Stool,not applicable,SRX24579978,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,217,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-725_Week_13_Label217,217,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-725,C57BL/6,,
SRR29054913,AMPLICON,502,4332762,PRJNA1111477,SAMN41393631,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,2541401,DUKE UNIVERSITY,2022-09-09,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Stool,not applicable,SRX24579977,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,216,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-760_Week_0_Label216,216,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-760,C57BL/6,,
SRR29054914,AMPLICON,502,6866858,PRJNA1111477,SAMN41393541,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,3813126,DUKE UNIVERSITY,2022-08-30,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Stool,not applicable,SRX24579976,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,215,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-726_Week_0_Label215,215,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-726,C57BL/6,,
SRR29054915,AMPLICON,502,7831702,PRJNA1111477,SAMN41393627,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4122041,DUKE UNIVERSITY,2022-09-09,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Stool,not applicable,SRX24579975,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,214,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-759_Week_13_Label214,214,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-759,C57BL/6,,
SRR29054916,AMPLICON,502,6850794,PRJNA1111477,SAMN41393548,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,3980404,DUKE UNIVERSITY,2022-08-30,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Mouse Stool,not applicable,SRX24579974,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,213,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-728_Week_13_Label213,213,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-728,C57BL/6,,
SRR29054917,AMPLICON,502,6516462,PRJNA1111477,SAMN41393547,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,3646477,DUKE UNIVERSITY,2022-08-30,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Mouse Stool,not applicable,SRX24579973,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,212,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Fecal_JI-728_Week_0_Label212,212,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-728,C57BL/6,,
SRR29054918,AMPLICON,502,17055952,PRJNA1111477,SAMN41393689,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,9832669,DUKE UNIVERSITY,2022-03-08,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579972,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-689,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-689_Week_13_LabelJI-689,JI-689,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-689,,,
SRR29054919,AMPLICON,502,13839638,PRJNA1111477,SAMN41393688,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,8820313,DUKE UNIVERSITY,2022-03-08,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Lung,not applicable,SRX24579971,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-688-Redo,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-688_Week_13_LabelJI-688-Redo,JI-688-Redo,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-688,,,
SRR29054920,AMPLICON,502,1273574,PRJNA1111477,SAMN41393687,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,938444,DUKE UNIVERSITY,2022-03-08,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579970,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-688,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-688_Week_13_LabelJI-688,JI-688,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-688,,,
SRR29054921,AMPLICON,502,18348602,PRJNA1111477,SAMN41393686,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,10820732,DUKE UNIVERSITY,2022-03-08,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Lung,not applicable,SRX24579969,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-687,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-687_Week_13_LabelJI-687,JI-687,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-687,,,
SRR29054922,AMPLICON,502,14590128,PRJNA1111477,SAMN41393492,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,8358777,DUKE UNIVERSITY,2022-02-28,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Mouse Stool,not applicable,SRX24579968,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,27,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Fecal_JI-667_Week_13_Label27,27,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-667,C57BL/6,,
SRR29054923,AMPLICON,502,21988604,PRJNA1111477,SAMN41393685,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,13692118,DUKE UNIVERSITY,2022-03-08,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Mouse Lung,not applicable,SRX24579967,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-686,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-686_Week_13_LabelJI-686,JI-686,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-686,,,
SRR29054924,AMPLICON,502,9256378,PRJNA1111477,SAMN41393684,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,5397584,DUKE UNIVERSITY,2022-03-07,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Mouse Lung,not applicable,SRX24579966,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-685,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-685_Week_13_LabelJI-685,JI-685,SRP508123,Mouse,Normal_Chow,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-685,,,
SRR29054925,AMPLICON,502,7923066,PRJNA1111477,SAMN41393683,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4818056,DUKE UNIVERSITY,2022-03-07,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Mouse Lung,not applicable,SRX24579965,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-684,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-684_Week_13_LabelJI-684,JI-684,SRP508123,Mouse,Normal_Chow,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-684,,,
SRR29054926,AMPLICON,502,11578630,PRJNA1111477,SAMN41393682,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6738568,DUKE UNIVERSITY,2022-03-07,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579964,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-683,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-683_Week_13_LabelJI-683,JI-683,SRP508123,Mouse,Normal_Chow,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-683,,,
SRR29054927,AMPLICON,502,27073864,PRJNA1111477,SAMN41393681,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,16216433,DUKE UNIVERSITY,2022-03-07,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579963,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-682,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-682_Week_13_LabelJI-682,JI-682,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-682,,,
SRR29054928,AMPLICON,502,11589172,PRJNA1111477,SAMN41393680,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,6740209,DUKE UNIVERSITY,2022-03-07,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579962,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-681,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-681_Week_13_LabelJI-681,JI-681,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-681,,,
SRR29054929,AMPLICON,502,37163562,PRJNA1111477,SAMN41393679,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,21967305,DUKE UNIVERSITY,2022-03-07,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Lung,not applicable,SRX24579961,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-680,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-680_Week_13_LabelJI-680,JI-680,SRP508123,Mouse,High_Fat_Diet,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-680,,,
SRR29054930,AMPLICON,502,17818490,PRJNA1111477,SAMN41393678,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,10344906,DUKE UNIVERSITY,2022-03-07,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Mouse Lung,not applicable,SRX24579960,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-679,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-679_Week_13_LabelJI-679,JI-679,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-679,,,
SRR29054931,AMPLICON,502,2306690,PRJNA1111477,SAMN41393677,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,1561252,DUKE UNIVERSITY,2022-03-01,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Lung,not applicable,SRX24579959,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-678,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-678_Week_13_LabelJI-678,JI-678,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",Phosphate buffer saline,female,JI-678,,,
SRR29054932,AMPLICON,502,20627682,PRJNA1111477,SAMN41393676,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,11647066,DUKE UNIVERSITY,2022-03-01,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Lung,not applicable,SRX24579958,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-677,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-677_Week_13_LabelJI-677,JI-677,SRP508123,Mouse,Normal_Chow,"Wild type\, GLP1r(+/+)",House dust mite,female,JI-677,,,
SRR29054933,AMPLICON,502,10506860,PRJNA1111477,SAMN41393490,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,5721247,DUKE UNIVERSITY,2022-02-28,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Mouse Stool,not applicable,SRX24579957,USA,North America,USA:Durham,Mus musculus,Illumina MiSeq,36.01 N 78.94 W,26,PAIRED,PCR,GENOMIC,mouse gut metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Fecal_JI-666_Week_13_Label26,26,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",House dust mite,female,JI-666,C57BL/6,,
SRR29054934,AMPLICON,502,5232848,PRJNA1111477,SAMN41393675,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,3552353,DUKE UNIVERSITY,2022-03-01,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Mouse Lung,not applicable,SRX24579956,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-676,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-676_Week_13_LabelJI-676,JI-676,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,male,JI-676,,,
SRR29054935,AMPLICON,502,9478262,PRJNA1111477,SAMN41393674,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,5603384,DUKE UNIVERSITY,2022-03-01,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Mouse Lung,not applicable,SRX24579955,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-675,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:22:00Z,1,Lung Tissue_JI-675_Week_13_LabelJI-675,JI-675,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-675,,,
SRR29054936,AMPLICON,502,7186130,PRJNA1111477,SAMN41393673,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",not applicable,4237534,DUKE UNIVERSITY,2022-03-01,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Mouse Lung,not applicable,SRX24579954,USA,North America,USA:Durham,Mus musculus C57BL/6,Illumina MiSeq,36.01 N 78.94 W,JI-674,PAIRED,PCR,GENOMIC,lung metagenome,ILLUMINA,2024-05-21T00:00:00Z,2024-05-16T11:21:00Z,1,Lung Tissue_JI-674_Week_13_LabelJI-674,JI-674,SRP508123,Mouse,High_Fat_Diet,"Knockout\, Glp1r(-/-)",Phosphate buffer saline,female,JI-674,,,
